ano;idade;genero;inde_22;inde_23;inde_24;iaa;ieg;ips;ida;ipv;ian;ipp;fase_ideal;defasagem;risco
2022;15;0;5.6;;;7.1;4.6;7.5;6.2;4.92;5.0;;5;-2;1
2022;13;0;4.97;;;0.0;4.6;7.5;3.1;5.58;10.0;;3;0;0
2022;13;1;5.67;;;9.6;4.3;7.5;2.6;4.88;10.0;;3;0;0
2022;14;1;5.92;;;8.3;5.3;7.5;5.0;5.71;5.0;;4;-1;1
2022;14;0;6.55;;;7.5;6.1;7.5;6.8;6.21;5.0;;4;-1;1
2022;12;1;6.47;;;9.2;6.4;7.5;3.3;5.83;10.0;;3;0;0
2022;15;0;6.2;;;7.5;6.7;7.5;4.8;6.42;5.0;;5;-2;1
2022;12;1;8.62;;;10.0;9.4;7.5;6.9;8.5;10.0;;3;0;0
2022;14;1;6.33;;;7.9;5.1;7.5;5.7;6.75;5.0;;4;-1;1
2022;14;1;6.12;;;8.8;7.4;7.5;3.8;5.33;5.0;;4;-1;1
2022;12;1;4.24;;;0.0;4.9;7.5;0.0;4.54;10.0;;3;0;0
2022;14;1;6.05;;;7.9;7.4;7.5;3.8;5.5;5.0;;4;-1;1
2022;13;1;6.72;;;10.0;7.6;5.6;4.3;5.58;10.0;;3;0;0
2022;14;0;6.79;;;8.3;7.3;7.5;6.3;6.42;5.0;;4;-1;1
2022;12;0;7.11;;;9.6;7.5;7.5;3.7;7.21;10.0;;3;0;0
2022;14;0;8.08;;;10.0;9.0;7.5;7.8;8.42;5.0;;4;-1;1
2022;14;0;6.33;;;8.8;6.4;5.0;5.1;7.21;5.0;;4;-1;1
2022;15;0;4.57;;;0.0;3.7;7.5;3.7;5.96;5.0;;5;-2;1
2022;13;0;6.94;;;7.1;8.1;5.0;4.7;7.04;10.0;;3;0;0
2022;14;1;8.47;;;10.0;10.0;7.5;7.7;9.12;5.0;;4;-1;1
2022;13;1;8.67;;;9.6;9.7;5.6;8.2;8.71;10.0;;3;0;0
2022;15;0;6.98;;;7.1;8.7;5.0;6.0;7.88;5.0;;5;-2;1
2022;12;0;8.51;;;7.5;9.4;6.3;7.8;9.21;10.0;;3;0;0
2022;14;1;8.66;;;10.0;9.9;7.5;8.4;9.25;5.0;;4;-1;1
2022;13;1;8.64;;;8.3;9.4;7.5;7.6;9.17;10.0;;3;0;0
2022;13;0;7.72;;;8.3;8.2;7.5;5.8;7.88;10.0;;3;0;0
2022;13;1;7.43;;;9.2;7.6;7.5;5.2;7.29;10.0;;3;0;0
2022;14;1;5.1;;;6.7;7.4;5.0;2.9;4.29;5.0;;4;-1;1
2022;12;0;7.96;;;8.3;8.6;7.5;6.6;7.62;10.0;;3;0;0
2022;15;1;7.02;;;10.0;8.1;5.6;6.3;6.62;5.0;;5;-2;1
2022;14;1;4.28;;;9.2;2.8;7.5;0.9;3.88;5.0;;4;-1;1
2022;15;1;4.31;;;9.2;3.6;5.0;1.8;3.75;5.0;;5;-2;1
2022;14;1;6.72;;;10.0;7.4;5.6;5.3;6.92;5.0;;4;-1;1
2022;14;1;4.56;;;7.5;3.8;5.0;1.3;5.54;5.0;;4;-1;1
2022;12;0;7.19;;;8.8;8.5;5.0;5.2;6.71;10.0;;3;0;0
